year,vol_type,dimension,category,men_count,men_perc,women_count,women_perc,men_avg_hours,women_avg_hours
2022,Formal,Formal_Areas,disaster_rescue,339.0,79.2,89.2,20.8,,
2022,Formal,Formal_Areas,arts_culture,234.0,55.6,186.6,44.4,,
2022,Formal,Formal_Areas,environment_nature,119.1,57.0,89.8,43.0,,
2022,Formal,Formal_Areas,religion_church,156.5,40.2,232.7,59.8,,
2022,Formal,Formal_Areas,social_health,130.3,42.6,175.7,57.4,,
2022,Formal,Formal_Areas,politics_advocacy,156.9,67.3,76.3,32.7,,
2022,Formal,Formal_Areas,civic_community,167.8,59.6,113.9,40.4,,
2022,Formal,Formal_Areas,education,68.0,45.0,83.0,55.0,,
2022,Formal,Formal_Areas,sports,400.5,69.1,179.2,30.9,,
2022,Formal,Formal_Areas,refugee_aid,41.9,44.8,51.7,55.2,,
2022,Informal,Informal_Areas,household_tasks,423.3,42.7,568.5,57.3,,
2022,Informal,Informal_Areas,repairs_crafts,790.8,83.3,158.3,16.7,,
2022,Informal,Informal_Areas,visit_services,359.9,38.5,573.6,61.5,,
2022,Informal,Informal_Areas,care_dependent,175.9,37.5,293.3,62.5,,
2022,Informal,Informal_Areas,transport_services,403.5,45.4,485.3,54.6,,
2022,Informal,Informal_Areas,garden_support,447.6,60.2,296.4,39.8,,
2022,Informal,Informal_Areas,disaster_aid,266.5,73.6,95.5,26.4,,
2022,Informal,Informal_Areas,admin_paperwork,246.9,47.2,275.8,52.8,,
2022,Informal,Informal_Areas,tutoring,113.6,43.0,150.8,57.0,,
2022,Informal,Informal_Areas,childcare,264.2,33.7,520.4,66.3,,
2022,Informal,Informal_Areas,refugee_support,64.2,47.2,71.7,52.8,,
2022,Informal,Informal_Areas,other_informal,142.3,53.9,121.5,46.1,,
2022,Formal,Formal_NumberOfOrgs,1,721.6,57.6,531.7,42.4,,
2022,Formal,Formal_NumberOfOrgs,2,252.0,58.9,175.9,41.1,,
2022,Formal,Formal_NumberOfOrgs,3,89.5,58.2,64.2,41.8,,
2022,Formal,Formal_NumberOfOrgs,>=4,67.0,59.3,46.1,40.7,,
2022,Formal,Formal_TaskTypes,leadership,337.1,69.2,149.9,30.8,,
2022,Formal,Formal_TaskTypes,core_tasks,580.1,60.9,372.9,39.1,,
2022,Formal,Formal_TaskTypes,support_tasks,391.0,49.7,396.0,50.3,,
2022,Formal,Formal_Time/week,lt_1h,340.2,53.73,293.0,46.27,,
2022,Formal,Formal_Time/week,1_4h,393.1,58.22,282.1,41.78,,
2022,Formal,Formal_Time/week,5_9h,141.3,63.77,80.3,36.23,,
2022,Formal,Formal_Time/week,10_19h,104.2,66.71,52.0,33.29,,
2022,Formal,Formal_Time/week,20plus_h,61.7,66.34,31.3,33.66,,
2022,Informal,Informal_Time/week,lt_1h,537.3,57.93,390.2,42.07,,
2022,Informal,Informal_Time/week,1_4h,396.4,47.49,438.3,52.51,,
2022,Informal,Informal_Time/week,5_9h,145.5,40.59,212.9,59.41,,
2022,Informal,Informal_Time/week,10_19h,128.4,43.25,168.4,56.75,,
2022,Informal,Informal_Time/week,20plus_h,85.4,43.18,112.4,56.82,,
2025,Formal,Formal_Areas,disaster_rescue,330.1,76.0,104.3,24.0,,
2025,Formal,Formal_Areas,arts_culture,195.1,48.8,204.5,51.2,,
2025,Formal,Formal_Areas,environment_nature,96.8,55.0,79.3,45.0,,
2025,Formal,Formal_Areas,religion_church,140.3,42.5,189.7,57.5,,
2025,Formal,Formal_Areas,social_health,97.0,36.0,172.3,64.0,,
2025,Formal,Formal_Areas,politics_advocacy,130.9,69.9,56.4,30.1,,
2025,Formal,Formal_Areas,civic_community,122.1,55.5,98.0,44.5,,
2025,Formal,Formal_Areas,education,68.3,36.0,121.6,64.0,,
2025,Formal,Formal_Areas,sports,346.4,67.1,170.1,32.9,,
2025,Formal,Formal_Areas,other_area,54.0,57.6,39.6,42.4,,
2025,Informal,Informal_Areas,household_tasks,546.8,41.6,768.3,58.4,,
2025,Informal,Informal_Areas,repairs_crafts,954.7,76.2,298.9,23.8,,
2025,Informal,Informal_Areas,garden_support,660.1,60.1,437.5,39.9,,
2025,Informal,Informal_Areas,visit_services,253.8,39.1,394.7,60.9,,
2025,Informal,Informal_Areas,childcare,326.6,34.6,616.1,65.4,,
2025,Informal,Informal_Areas,care_dependent,245.6,37.1,415.9,62.9,,
2025,Informal,Informal_Areas,transport_services,474.2,47.3,529.2,52.7,,
2025,Informal,Informal_Areas,disaster_aid,169.0,65.1,90.7,34.9,,
2025,Informal,Informal_Areas,admin_paperwork,257.9,44.1,326.4,55.9,,
2025,Informal,Informal_Areas,tutoring,85.8,41.3,122.1,58.7,,
2025,Informal,Informal_Areas,other_informal,56.1,46.6,64.3,53.4,,
2025,Formal,Formal_NumberOfOrgs,1,736.4,56.0,579.3,44.0,,
2025,Formal,Formal_NumberOfOrgs,2,246.3,60.5,161.1,39.5,,
2025,Formal,Formal_NumberOfOrgs,3,63.1,58.8,44.2,41.2,,
2025,Formal,Formal_NumberOfOrgs,>=4,21.0,67.9,9.9,32.1,,
2025,Formal,Formal_TaskTypes,Personal assistance services,307.0,60.8,198.2,39.2,,
2025,Formal,Formal_TaskTypes,Organization and implementation of aid projects,64.2,48.9,67.0,51.1,,
2025,Formal,Formal_TaskTypes,Organization and implementation of meetings and events,278.8,57.1,209.8,42.9,,
2025,Formal,Formal_TaskTypes,Consulting,62.1,62.8,36.8,37.2,,
2025,Formal,Formal_TaskTypes,Leading a group and educational supervision,59.0,45.6,70.5,54.4,,
2025,Formal,Formal_TaskTypes,Representation of interests and participation,80.2,64.8,43.6,35.2,,
2025,Formal,Formal_TaskTypes,Information and public relations work,49.2,43.2,64.9,56.8,,
2025,Formal,Formal_TaskTypes,Administrative and office tasks,85.0,59.1,58.7,40.9,,
2025,Formal,Formal_TaskTypes,Networking,34.5,58.5,24.5,41.5,,
2025,Formal,Formal_TaskTypes,Fundraising and collecting donations,30.9,51.5,29.0,48.5,,
2025,Formal,Formal_TaskTypes,Management and leadership tasks,96.9,68.6,44.3,31.4,,
2025,Formal,Formal_TaskTypes,Other Tasks,216.0,55.2,175.2,44.8,,
2006,Formal,Formal_NumberOfOrgs,1,648.3,53.4,565.7,46.6,,
2006,Formal,Formal_NumberOfOrgs,2,279.1,62.9,164.6,37.1,,
2006,Formal,Formal_NumberOfOrgs,3,71.9,54.3,60.5,45.7,,
2006,Formal,Formal_NumberOfOrgs,>=4,75.4,59.8,50.7,40.2,,
2006,Formal,Formal_TaskTypes,leadership,365.9,65.9,189.3,34.1,,
2006,Formal,Formal_TaskTypes,core_tasks,571.4,64.3,316.9,35.7,,
2006,Formal,Formal_TaskTypes,support_tasks,364.2,46.2,423.4,53.8,,
2006,Formal,Formal_Areas,disaster_rescue,392.6,81.0,92.1,19.0,,
2006,Formal,Formal_Areas,arts_culture,207.1,56.7,158.0,43.3,,
2006,Formal,Formal_Areas,environment_nature,105.8,55.1,86.0,44.9,,
2006,Formal,Formal_Areas,religion_church,155.8,35.6,282.1,64.4,,
2006,Formal,Formal_Areas,social_health,139.1,44.8,171.4,55.2,,
2006,Formal,Formal_Areas,politics_advocacy,183.8,70.5,77.1,29.5,,
